VTL Layer,LDM,IL,Filter,Joins,FilterName,usd_in_f01
LNS_RPRCHS_AGRMNT,,,,,,
RPRCHS_AGRMNTS_SCRTSTN,,,,,,
NMBR_ASSTS_LBLTS,,,,,,
NMBR_LBLTS_ASSTS,,,,,,
ASSTS_LBLTS_SCRTSTNS_OTHR_CRDT_TRNSFRS,,,,,,
DBT_SCRTS_DBTRS_RPRCHS_AGRMNT,,,,,,
EQTY_DBTRS_RPRCHS_AGRMNT,,,,,,
SBSDRS_ASSCTS_JNT_VNTRS_GRP,,,,,,
SBSDRS_ASSCTS_JNT_VNTRS_IDS,,,,,,
SCRTSTNS_OTHR_CRDT_TRNSFRS,,,,,,
ASSTS_SCRTSTNS_OTHR_CRDT_TRNSFRS,,,,,,
SHRT_PSTNS_CSTMRS,,,,,,
SHRT_PSTNS,,,,,,
