Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Shock direction",B1BAAD61-8F23-F273-8C31-5A7B5433112F,188,,CAAA6A13-3408-32AA-C628-9F0995673C28,102,N,Domain,,,,,C1582D26-6C4D-DC4C-027A-545A166AF8A4,24,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"ShockDirection",String,,,,,,,,"Curvature",,,,3,3,,,,
"Tenor",6301F00E-50BC-B005-58A8-37EDEEC35D1F,189,,34908E02-53E1-6647-E07D-2921F33DDF28,111,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,3,,,,,
"Tenor",13CF1FA0-C647-3234-6F6E-FDC0F2BCC893,190,,74FDE155-399A-5886-2419-C144B9B3EE90,104,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity",,,,2,,,,,
"Total GIRR delta sensitivity per bucket",4146B2CB-6862-FFE2-C201-DAEF2078518E,191,,972DD5CD-E47A-05C9-2C63-F05F49DAC772,121,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Total delta sensitivity per bucket_derived",,,,2,,,,,
"Total GIRR delta sensitivity squared per bucket",3FF78257-4BC7-CF85-20AF-F3598478EC8A,192,,972DD5CD-E47A-05C9-2C63-F05F49DAC772,121,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Total delta sensitivity per bucket_derived",,,,3,,,,,
"Total sensitivities bucket identifier",502BD3CA-BAB4-C97C-64F7-8250734D9737,193,,34908E02-53E1-6647-E07D-2921F33DDF28,111,Y,Domain,,,,,DOM3000004,30,LOGDT017,31,,,,,,,,,Y,"Unknown",unknown,,,,,,7DA72B9E-2EF1-FAAD-317E-41FCD05ABF03,217,"Netted delta sensitivities per risk factor and tenor_derived",,F,"Netted delta sensitivities",8,,,,,
"Total sensitivities bucket identifier",AD21ADFC-78E5-C980-E83F-5BEB2EDDD367,194,,972DD5CD-E47A-05C9-2C63-F05F49DAC772,121,Y,Domain,,,,,DOM3000004,30,LOGDT017,31,,,,,,,,,Y,"Unknown",unknown,,,,,,,,"Total delta sensitivity per bucket_derived",P,,,1,,,,,
"Tranche name",8102EC40-CC02-20E6-C2D4-D888711E368D,195,,8ABC1D49-C1B4-877C-ED2B-EBC1BFA1363B,118,N,Domain,,,,,78E25C16-8968-20B4-E330-DA4578EE46CF,25,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"String",String,,,,,,,,"Securitisation non CTP risk factor",,,,1,156,,,,
"Type And Nature Of Sensitivity",3B9FAC62-D1FD-748E-0611-D706C1479747,196,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,4FF302C1-0614-5DA2-2FCA-751807F17071,28,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Type And Nature Of Sensitivity",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,5,3,,,,
"Type Of Risk",B40414A8-F61C-2EE7-93D4-22EC80826BC4,197,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,113,N,Domain,,,,,A36A73C3-36F7-ADD1-855B-A11DFF6D85C8,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,97,,,,,,,,,Y,"Type Of Risk",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,10,3,,,,
"underlying residual maturity",4F905639-BB92-E626-3F22-F7B2CE64E33A,198,,47A941C3-2E4D-07A4-14B2-F4AFB696D126,122,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Vega sensitivity",,,,3,,,,,
"Vega sensitivity",553ABB04-6220-A556-90E9-32E2488FBDC1,199,,47A941C3-2E4D-07A4-14B2-F4AFB696D126,122,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Vega sensitivity",,,,4,,,,,
"Weighted GIRR delta sensitivity",9100E012-CAA6-1BBC-FF63-D30622D393FF,200,,34908E02-53E1-6647-E07D-2921F33DDF28,111,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,5,,,,,
"Weighted GIRR delta sensitivity squared",9F1B56AF-CD34-F99D-ED1A-FC8615773C47,201,,34908E02-53E1-6647-E07D-2921F33DDF28,111,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,64,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,7,,,,,
