Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"GIRR delta correlation factor",9E058EE3-D2BD-F9BD-7BC6-978ACD4039C9,150,,759B8717-A824-710D-F330-8402AA7CA111,107,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Delta sensitivity combinations_derived",,,,1,,,,,
"GIRR delta KB",8284CB2F-DAF5-61A4-9D20-354DA9576E37,151,,BA2E3C75-93F0-6645-DA84-7698317A75B1,112,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"KB per bucket_derived",,,,1,,,,,
"GIRR delta risk weight",04CE597A-5AB0-EDE9-E470-7C3E8EAB1BA3,152,,34908E02-53E1-6647-E07D-2921F33DDF28,113,N,Domain,,,,,EF979509-4418-5FAC-812C-8FD0322FE1D6,16,LOGDT019,66,,,,,,,,,Y,"Number",NUMERIC,,,,,,,,"Netted delta sensitivities per risk factor and tenor_derived",,,,4,,,,,
"GIRR risk factor type",0A77E337-549A-27A5-3B08-F70824F6D7EB,153,,B38A778B-0463-9C7D-3502-F4091E4E0384,111,N,Domain,,,,,A38EA317-F0EC-770D-9FFB-56136AA62106,11,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"GIRR risk factor type",String,,,,,,,,"GIRR risk factor",,,,1,3,,,,
"Hypothetical Value Under Specific Assumptions",CB89C522-AB57-3AD5-B2AB-D3536262B591,154,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,0C0CB380-50D3-FC6A-0B52-AC11D7B20657,3,LOGDT006,42,,,,,,,,,Y,"Boolean",Boolean,,,,,,,,"OUTPUT_LAYER_FRTB",,,,9,,,,,
"Instrument",2101D5C5-FA14-FA6E-DC58-DFC3E8C70A39,155,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,29BAC856-67BB-03AF-68AC-03A6A98312D7,12,LOGDT017,33,,,,,,,,,Y,"Instrument",unknown,,,,,,,,"OUTPUT_LAYER_FRTB",,,,12,,,,,
"Issue Identifier",D59D2351-11DE-5835-5579-2B664C07C628,156,,58CA352E-DE50-CD54-EECC-B9D98C76ADE6,121,Y,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,,,"Security issue",P,,,2,,,,,
"Issue Identifier",DF45395F-D359-D5C5-A570-953684C5504D,157,,8ABC1D49-C1B4-877C-ED2B-EBC1BFA1363B,120,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,609E646F-44F1-8B17-8BD3-D4B7E0B8E361,234,"Securitisation non CTP risk factor",,F,"Relation_6",2,,,,,
"Issue Identifier",E018E7F5-EA38-5477-756A-90B090C11B75,158,,C479F3DA-D525-3B6D-27B8-E0950E385F50,109,N,Domain,,,,,6FBEB348-B901-2CC5-03F9-29A90524DCDA,29,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"String up to 60 characters limited to letters (capital and low cases), numbers, dash and underscore_1",String,,,,,,51581835-0EB3-A20D-FE96-99D73DC26D32,233,"Equity risk factor",,F,"Relation_5",2,,,,,
"Main Catagory",1CA14B50-8560-A0D5-ED3B-679C5FE4201A,159,,5C84AF14-9F30-4DB3-6A7D-B3E3F397C52C,115,N,Domain,,,,,E41BF2C1-36E3-6B32-D73A-8F8901FE5B50,13,A3A3C77D-0366-9768-FF89-1C25E56881C8,99,,,,,,,,,Y,"Main Catagory",String,,,,,,,,"OUTPUT_LAYER_FRTB",,,,2,3,,,,
