Logical_Type_ID,LT_Name,Native_Type,RDBMS_Type,RDBMS_Version,Has_Size,Has_Precision,Has_Scale
LOGDT006,"Boolean","CHAR",DB2/UDB,8.1,Y,N,N,
LOGDT006,"Boolean","CHAR",DB2/UDB,7.1,Y,N,N,
LOGDT025,"CHAR","CHAR",Oracle Database,21c,N,N,N,
LOGDT025,"CHAR","CHAR",Oracle Database,12cR2,N,N,N,
LOGDT025,"CHAR","CHAR",Oracle Database,12c,N,N,N,
LOGDT025,"CHAR","CHAR",Oracle Database,11g,N,N,N,
LOGDT025,"CHAR","CHAR",Oracle Database,10g,N,N,N,
LOGDT025,"CHAR","CHAR",Oracle,9i,N,N,N,
LOGDT025,"CHAR","CHAR",SQL Server,2012,N,N,N,
LOGDT025,"CHAR","CHAR",SQL Server,2008,N,N,N,
LOGDT025,"CHAR","CHAR",SQL Server,2005,N,N,N,
LOGDT025,"CHAR","CHAR",SQL Server,2000,N,N,N,
LOGDT025,"CHAR","CHAR",DB2/390,8,N,N,N,
LOGDT025,"CHAR","CHAR",DB2/390,7,N,N,N,
LOGDT025,"CHAR","CHAR",DB2/UDB,9,N,N,N,
LOGDT025,"CHAR","CHAR",DB2/UDB,8.1,N,N,N,
LOGDT025,"CHAR","CHAR",DB2/UDB,7.1,N,N,N,
LOGDT028,"CLOB","CLOB",Oracle Database,21c,N,N,N,
LOGDT028,"CLOB","CLOB",Oracle Database,12cR2,N,N,N,
LOGDT028,"CLOB","CLOB",Oracle Database,12c,N,N,N,
LOGDT028,"CLOB","CLOB",Oracle Database,11g,N,N,N,
LOGDT028,"CLOB","CLOB",Oracle Database,10g,N,N,N,
LOGDT028,"CLOB","CLOB",Oracle,9i,N,N,N,
LOGDT028,"CLOB","VARCHAR",SQL Server,2012,N,N,N,
LOGDT028,"CLOB","VARCHAR",SQL Server,2008,N,N,N,
LOGDT028,"CLOB","VARCHAR",SQL Server,2005,N,N,N,
LOGDT028,"CLOB","TEXT",SQL Server,2000,N,N,N,
LOGDT028,"CLOB","CLOB",DB2/390,8,N,N,N,
LOGDT028,"CLOB","CLOB",DB2/390,7,N,N,N,
LOGDT028,"CLOB","CLOB",DB2/UDB,9,N,N,N,
LOGDT028,"CLOB","CLOB",DB2/UDB,8.1,N,N,N,
LOGDT028,"CLOB","CLOB",DB2/UDB,7.1,N,N,N,
