Table Part,Main Table,Filter,Related Tables,Comments
Profit_or_loss,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 870_Profit or loss,,
Profit_or_loss_after_tax_from_extraordinary_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 262_Profit or loss after tax from extraordinary operations,,
Profit_or_loss_before_tax_from_continuing_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 277_Profit or loss before tax from continuing operations,,
Profit_or_loss_before_tax_from_discontinued_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 278_Profit or loss before tax from discontinued operations,,
Profit_or_loss_before_tax_from_extraordinary_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 265_Profit or loss before tax from extraordinary operations,,
Profit_or_loss_from_continuing_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 279_Profit or loss from continuing operations,,
Profit_or_loss_from_discontinued_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 261_Profit or loss from discontinued operations,,
Retained_earnings,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 810_Retained earnings,,
Revaluation_reserves,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 820_Revaluation reserves,,
Right_to_reimbursement_of_the_expenditure_required_to_settled_a_defined_benefit_obligation,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 905_Right to reimbursement of the expenditure required to settled a defined benefit obligation,,
Share_capital_repayable_on_demand,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 730_Share capital repayable on demand,,
Share_of_profit_or_loss,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 321_Share of profit or loss,,
Share_premium,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 760_Share premium,,
Tax_assets,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 451_Tax assets,,
Tax_from_continuing_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 260_Income or expenses. Tax from continuing operations,,
Tax_from_discontinued_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 337_Income or expenses. Tax from discontinued operations,,
Tax_from_extraordinary_operations,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 503_Income or expenses. Tax from extraordinary operations,,
Tax_liabilities,BIRD_NN_FNNCL_LBLTY_EIL,TYP_ACCNTNG_ITM in 721_Tax liabilities,,
Tax_other_comprehensive_income,BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 280_Tax other comprehensive income,,
Total_operating_income_(net),BIRD_NN_FNNCL_ASST_EIL,TYP_ACCNTNG_ITM in 501_Total operating income (net),,
Collateral_received,BIRD_CLLTRL_EIL,Not Sure,,
